#,target,auid,jd,mag,uncertainty,fainterthan,band,type,observer,airmass,transformed
3008,WASP-52,000-BLD-637,2459548.698348,12.2107,0.0057,False,Unfiltered with V Zeropoint,CCD,KADB,1.396,False
3009,WASP-52,000-BLD-637,2459548.700349,12.2144,0.0051,False,Unfiltered with V Zeropoint,CCD,KADB,1.409,False
3010,WASP-52,000-BLD-637,2459548.702349,12.2126,0.0051,False,Unfiltered with V Zeropoint,CCD,KADB,1.423,False
3011,WASP-52,000-BLD-637,2459548.704349,12.227,0.0057,False,Unfiltered with V Zeropoint,CCD,KADB,1.438,False
3012,WASP-52,000-BLD-637,2459548.706339,12.2133,0.0050,False,Unfiltered with V Zeropoint,CCD,KADB,1.453,False
3013,WASP-52,000-BLD-637,2459548.709339,12.2128,0.0057,False,Unfiltered with V Zeropoint,CCD,KADB,1.477,False
3014,WASP-52,000-BLD-637,2459548.711340,12.219,0.0050,False,Unfiltered with V Zeropoint,CCD,KADB,1.494,False
3015,WASP-52,000-BLD-637,2459548.713340,12.2255,0.0050,False,Unfiltered with V Zeropoint,CCD,KADB,1.511,False
3016,WASP-52,000-BLD-637,2459548.715340,12.2072,0.0055,False,Unfiltered with V Zeropoint,CCD,KADB,1.529,False
3017,WASP-52,000-BLD-637,2459548.717340,12.2214,0.0050,False,Unfiltered with V Zeropoint,CCD,KADB,1.547,False
3018,WASP-52,000-BLD-637,2459548.719340,12.2328,0.0057,False,Unfiltered with V Zeropoint,CCD,KADB,1.566,False
3019,WASP-52,000-BLD-637,2459548.721341,12.2229,0.0056,False,Unfiltered with V Zeropoint,CCD,KADB,1.586,False
3020,WASP-52,000-BLD-637,2459548.725341,12.2127,0.0049,False,Unfiltered with V Zeropoint,CCD,KADB,1.628,False
3021,WASP-52,000-BLD-637,2459548.727341,12.2266,0.0057,False,Unfiltered with V Zeropoint,CCD,KADB,1.650,False
3022,WASP-52,000-BLD-637,2459548.729341,12.2147,0.0049,False,Unfiltered with V Zeropoint,CCD,KADB,1.673,False
3023,WASP-52,000-BLD-637,2459548.731341,12.1964,0.0049,False,Unfiltered with V Zeropoint,CCD,KADB,1.696,False
3024,WASP-52,000-BLD-637,2459548.733342,12.2182,0.0050,False,Unfiltered with V Zeropoint,CCD,KADB,1.721,False
3025,WASP-52,000-BLD-637,2459548.736342,12.22,0.0049,False,Unfiltered with V Zeropoint,CCD,KADB,1.760,False
3026,WASP-52,000-BLD-637,2459548.740342,12.1864,0.0061,False,Unfiltered with V Zeropoint,CCD,KADB,1.815,False
3027,WASP-52,000-BLD-637,2459548.742343,12.2142,0.0049,False,Unfiltered with V Zeropoint,CCD,KADB,1.845,False
3028,WASP-52,000-BLD-637,2459548.744343,12.1962,0.0049,False,Unfiltered with V Zeropoint,CCD,KADB,1.875,False
3029,WASP-52,000-BLD-637,2459548.746343,12.2017,0.0049,False,Unfiltered with V Zeropoint,CCD,KADB,1.907,False
3030,WASP-52,000-BLD-637,2459548.748343,12.2111,0.0056,False,Unfiltered with V Zeropoint,CCD,KADB,1.941,False
3031,WASP-52,000-BLD-637,2459548.750343,12.2062,0.0056,False,Unfiltered with V Zeropoint,CCD,KADB,1.976,False
